holiday;temp;rain_1h;snow_1h;clouds_all;weather_main;weather_description;date_time;traffic_volume
None;28828;0;0;40;Clouds;scattered clouds;02/10/2012 09:00;5545
None;28936;0;0;75;Clouds;broken clouds;02/10/2012 10:00;4516
None;28958;0;0;90;Clouds;overcast clouds;02/10/2012 11:00;4767
None;29013;0;0;90;Clouds;overcast clouds;02/10/2012 12:00;5026
None;29114;0;0;75;Clouds;broken clouds;02/10/2012 13:00;4918
None;29172;0;0;1;Clear;sky is clear;02/10/2012 14:00;5181
None;29317;0;0;1;Clear;sky is clear;02/10/2012 15:00;5584
None;29386;0;0;1;Clear;sky is clear;02/10/2012 16:00;6015
None;29414;0;0;20;Clouds;few clouds;02/10/2012 17:00;5791
None;2931;0;0;20;Clouds;few clouds;02/10/2012 18:00;4770
None;29097;0;0;20;Clouds;few clouds;02/10/2012 19:00;3539
None;28938;0;0;1;Clear;sky is clear;02/10/2012 20:00;2784
None;28861;0;0;1;Clear;sky is clear;02/10/2012 21:00;2361
None;28716;0;0;1;Clear;sky is clear;02/10/2012 22:00;1529
None;28545;0;0;1;Clear;sky is clear;02/10/2012 23:00;963
None;28463;0;0;1;Clear;sky is clear;03/10/2012 00:00;506
None;28347;0;0;1;Clear;sky is clear;03/10/2012 01:00;321
None;28118;0;0;1;Clear;sky is clear;03/10/2012 02:00;273
None;28109;0;0;1;Clear;sky is clear;03/10/2012 03:00;367
None;27953;0;0;1;Clear;sky is clear;03/10/2012 04:00;814
None;27862;0;0;1;Clear;sky is clear;03/10/2012 05:00;2718
None;27823;0;0;1;Clear;sky is clear;03/10/2012 06:00;5673
None;27812;0;0;1;Clear;sky is clear;03/10/2012 08:00;6511
None;28248;0;0;1;Clear;sky is clear;03/10/2012 09:00;5471
None;29197;0;0;1;Clear;sky is clear;03/10/2012 12:00;5097
None;29323;0;0;1;Clear;sky is clear;03/10/2012 13:00;4887
None;29431;0;0;1;Clear;sky is clear;03/10/2012 14:00;5337
None;29517;0;0;1;Clear;sky is clear;03/10/2012 15:00;5692
None;29513;0;0;1;Clear;sky is clear;03/10/2012 16:00;6137
None;29366;0;0;20;Clouds;few clouds;03/10/2012 18:00;4623
None;29065;0;0;20;Clouds;few clouds;03/10/2012 19:00;3591
None;28819;0;0;20;Clouds;few clouds;03/10/2012 20:00;2898
None;2871;0;0;1;Clear;sky is clear;03/10/2012 21:00;2637
None;28625;0;0;1;Clear;sky is clear;03/10/2012 22:00;1777
None;28526;0;0;1;Clear;sky is clear;03/10/2012 23:00;1015
None;28455;0;0;1;Clear;sky is clear;04/10/2012 00:00;598
None;28347;0;0;1;Clear;sky is clear;04/10/2012 01:00;369
None;28317;0;0;1;Clear;sky is clear;04/10/2012 02:00;312
